  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.83, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.85, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.85, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.85, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.98
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.83, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.83, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.49, Pitch:-2.84, Yaw:-179.99
